Stock#,Year,Make,Model,Trim,N/U/T,Status,Age,Ext. Color,Vin,Miles,Location,DMS Status,Price
811AP8T,2026,FORD,MUSTANG, ,N,Available,,SHADOW BLACK,1FA6P8THXT5104935,, ,O,45775
TGA12457,2026,FORD,EXPLORER,TREMOR 4DR 4X4,N,Available,13,AGATE BLACK MET,1FMUK8JH7TGA12457,5, ,T,51665
N019K8J,2026,FORD,EXPLORER,TREMOR 4DR 4X4,N,Available,,MARSH GRAY,1FMWK8JC2TGA46240,, ,O,63250
SKF26511A,2017,FORD,MUSTANG,GT PREMIUM 2DR FASTBACK,U,Working,11,MAGNETIC,1FA6P8CF7H5330372,62401, ,S,29997
FA1312,2024,NISSAN,FRONTIER,SV (A9) 4X4 CREW CAB 5 FT. BOX 126 IN. WB,U,Available,68,GLACIER WHITE,1N6ED1EK2RN628746,25841, ,S,31430
811DU1R,2025,FORD,EXPEDITION,TREMOR 4DR 4X4,N,Available,,AGATE BLACK MET,1FMJU1RG3SEA77381,, ,O,84785
N025W5L,2025,FORD,F-150, ,N,Available,24,STAR WHITE META,1FTFW5L57SFC57752,, ,O,76350
SGC54231,2025,FORD,EXPLORER,ST-LINE 4DR 4X4,N,Available,84,RAPID RED METALLIC TINTED CLEARCOAT,1FMUK8KH0SGC54231,15, ,S,53370
RKF18476A,2022,CHEVROLET,SILVERADO 1500,CUSTOM 4X4 CREW CAB 5.75 FT. BOX 147.4 IN. WB,U,Available,84,DARK ASH METALLIC,1GCPDBEKXNZ561592,36923, ,S,32999
SGC92770,2025,FORD,EXPLORER,PLATINUM 4DR 4X4,N,Available,15,AGATE BLACK METALLIC,1FMUK8HH1SGC92770,5, ,S,59115
N003U9N,2026,FORD,ESCAPE,ST-LINE SELECT 4DR ALL-WHEEL DRIVE,N,Available,5,CARBONIZED GRAY,1FMCU9NZ6TUA37415,, ,O,36580
SLB36973,2025,FORD,BRONCO,BIG BEND 4DR 4X4,N,Available,14,MARSH GRAY,1FMEE7BH6SLB36973,5, ,S,57935
TEC38431,2026,FORD,F-350, ,N,Available,22,OXFORD WHITE,1FT8W3BM6TEC38431,5, ,S,100380
SGD08156,2025,FORD,EXPLORER,ST 4DR 4X4,N,Available,15,STAR WHITE METALLIC TRI-COAT,1FMWK8GC1SGD08156,5, ,S,63405
SLB38357,2025,FORD,BRONCO,BIG BEND 4DR 4X4,N,Available,20,AZURE GRAY METALLIC TRI-COAT,1FMEE7BH5SLB38357,5, ,S,54355
FA1321A,2010,MERCURY,MOUNTAINEER,BASE ALL-WHEEL DRIVE,U,Available,5, ,4M2EN4HE7AUJ01832,159451, ,S,0
SEC32155,2025,FORD,F-250, ,N,Available,239,OXFORD WHITE,1FT8W2BT0SEC32155,17, ,S,78295
SLE60775,2025,FORD,RANGER,LARIAT 4X4 SUPERCREW 5 FT. BOX 128.7 IN. WB,N,Available,14,OXFORD WHITE,1FTER4KH1SLE60775,5, ,T,50680
SGC89321,2025,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,34,AGATE BLACK METALLIC,1FMUK8DH4SGC89321,5, ,S,49115
N022K8K,2026,FORD,EXPLORER,ST-LINE 4DR 4X4,N,Available,,AGATE BLACK MET,1FMUK8KH5TGA44967,, ,O,50890
FA1245A,2020,FORD,ESCAPE,SE 4DR ALL-WHEEL DRIVE,U,Available,80,RED,1FMCU9G67LUB04249,93830, ,S,15997
SRF39590A,2008,TOYOTA,SIENNA, ,U,Available,5, ,5TDZK23C48S193555,278000, ,S,0
P77NW3L,2025,FORD,F-150, ,N,Available,,AGATE BLACK MET,1FTFW3LD3SFC50180,, ,O,62390
SFC19380,2025,FORD,F-150, ,N,Available,27,RAPID RED MET T,1FTFW5L81SFC19380,5, ,T,74295
S5413467A,2024,FORD,MUSTANG, ,U,Available,1,DARK MATTER GRA,1FA6P8TH3R5140751,4327, ,S,0
TEC20422,2026,FORD,F-250, ,N,Available,50,CARBONIZED GRAY METALLIC,1FT7W2BT7TEC20422,5, ,S,70895
FA1332,2023,FORD,EXPLORER,XLT 4DR 4X4,U,Available,, ,1FMSK8DH6PGA32272,29778, ,S,37550
SRF47984,2025,FORD,BRONCO SPORT,HERITAGE 4DR 4X4,N,Available,13,CARBONIZED GRAY,3FMCR9GN7SRF47984,5, ,T,35990
818HW3L,2025,FORD,F-150, ,N,Available,,AGATE BLACK MET,1FTFW3L52SKF69909,, ,O,63210
SED73073,2025,FORD,F-350, ,N,Available,84,ANTIMATTER BLUE METALLIC,1FT8W3BT4SED73073,5, ,S,80410
H811U9M,2026,FORD,ESCAPE,ST-LINE 4DR ALL-WHEEL DRIVE,N,Available,,RAPID RED MET T,1FMCU9MN4TUA23821,, ,O,35280
SKF38728,2025,FORD,F-150, ,N,Available,21,CARBONIZED GRAY METALLIC,1FTFW3L85SKF38728,5, ,S,64265
TED01163,2026,FORD,F-350, ,N,Available,13,CARBONIZED GRAY,1FT8W3BT6TED01163,5, ,T,88175
TEC74457,2026,FORD,F-250, ,N,Available,33,STAR WHITE,1FT8W2BM3TEC74457,5, ,T,91985
FA1276,2024,FORD,EDGE,TITANIUM 4DR ALL-WHEEL DRIVE,U,Available,133,BLACK METALLIC,2FMPK4K94RBA88277,27004, ,S,29999
SGC63718,2025,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,84,VAPOR BLUE METALLIC,1FMUK8DH0SGC63718,5, ,S,50850
SFA62646,2025,FORD,F-150,KING RANCH 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,,STAR WHITE,1FTFW6LD1SFA62646,, ,,78990
I813R9D,2025,FORD,BRONCO SPORT,BADLANDS 4DR 4X4,N,Available,17,CARBONIZED GRAY,3FMCR9DA2SRF61681,, ,O,42110
R048E6A,2025,FORD,BRONCO,BASE 2DR 4X4,N,Available,,OXFORD WHITE,1FMDE6AHXSLB71099,, ,O,51170
RKE26157B,2024,FORD,BRONCO,RAPTOR 4DR 4X4,U,Available,41,SHADOW BLACK,1FMEE0RR1RLA28499,9211, ,S,74960
N021K8H,2026,FORD,EXPLORER,PLATINUM 4DR 4X4,N,Available,,RAPID RED MET T,1FMUK8HH3TGA52928,, ,O,60035
811QR4H,2025,FORD,RANGER,XLT 4X4 SUPERCREW 5 FT. BOX 128.7 IN. WB,N,Available,,SHADOW BLACK,1FTER4HP9SLE67486,, ,O,46720
SRF56877,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,17,AZURE GRAY META,3FMCR9BN8SRF56877,5, ,T,35680
SGC95139,2025,FORD,EXPLORER,PLATINUM 4DR 4X4,N,Available,21,RED METALLIC,1FMUK8HH9SGC95139,5, ,S,59355
FA1327,2024,MAZDA,CX-30, ,U,Available,47,GRAY METALLIC,3MVDMBCM7RM664871,37381, ,S,23999
N109W1R,2025,FORD,F-150,RAPTOR 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,3,SPACE WHITE MET,1FTFW1RG1SFC69400,, ,O,83490
